trial_number,loss,latent_dim,int1_dim,int2_dim,int3_dim,int4_dim,dropout_rate,kl_beta,alpha_lrelu,momentum,initial_lr,decay_steps,decay_rate
0.0,0.17155689001083374,24.0,247.0,45.0,107.0,0.0,0.3177814448552421,1.0,0.41481285204236745,0.43125015124103616,0.001879082872668615,78.0,1.1442699555848312
1.0,0.17946822941303253,21.0,110.0,57.0,0.0,0.0,0.4700056727747367,1.0,0.1515875697050884,0.730867157161726,0.037454282124458074,86.0,0.8418018226631074
2.0,0.15245184302330017,42.0,184.0,61.0,47.0,0.0,0.23456179628470375,1.0,0.035823447688765886,0.7767962890988809,0.009934405418093808,153.0,1.0711939053603747
3.0,0.20671983063220978,35.0,91.0,105.0,49.0,80.0,0.3503667719729283,1.0,0.26897277099219874,0.40910227221010825,0.0005981571389731099,122.0,0.891078409484831
4.0,0.1810581386089325,42.0,175.0,67.0,0.0,0.0,0.47031433927628047,1.0,0.2436390470224702,0.8002420359186142,0.0005034448422059182,149.0,1.0345060312207022
5.0,0.17323069274425507,40.0,425.0,88.0,31.0,15.0,0.4113208414665587,1.0,0.3769711804771532,0.8539151225977224,0.009574614569927328,75.0,0.9969921586537994
6.0,0.16976092755794525,13.0,329.0,237.0,25.0,40.0,0.5607460712510498,1.0,0.1876044209300498,0.7963398285195731,0.002213357407237259,119.0,1.174819519595236
7.0,0.18478034436702728,33.0,140.0,35.0,83.0,17.0,0.5423672667282247,1.0,0.356229293346544,0.4821826287791297,0.0005020195129860004,130.0,0.9871307821759701
8.0,0.17468169331550598,25.0,54.0,0.0,0.0,0.0,0.5968227958769923,1.0,0.04198667395187178,0.4700241571965663,0.009309775378872953,81.0,1.035252633092041
9.0,0.17507801949977875,45.0,196.0,55.0,33.0,0.0,0.38032965525505696,1.0,0.19294105757243885,0.534305373155014,0.0009901535625502116,116.0,1.063168275329108
10.0,0.1728462278842926,50.0,32.0,0.0,0.0,0.0,0.20842474992445234,1.0,0.027540672670911592,0.6461536905276621,0.000135544803760377,194.0,1.198557107627398
11.0,0.1452644318342209,13.0,251.0,126.0,60.0,0.0,0.2525651827273997,1.0,0.09495260008387948,0.8955585436436286,0.005133583599087932,166.0,1.1271607603279097
12.0,0.15410424768924713,11.0,217.0,124.0,66.0,0.0,0.20428164102258273,1.0,0.09279703303957987,0.8981723923222171,0.008838618678868745,176.0,1.1126504119632716
13.0,99630675132416.0,20.0,238.0,125.0,0.0,0.0,0.27845391944723785,1.0,0.006953957826653014,0.6893710424709709,0.09364990916941099,163.0,1.1087590837804508
14.0,0.16837719082832336,29.0,150.0,84.0,67.0,0.0,0.2646495253796252,1.0,0.09850347503829579,0.8872868696094539,0.005759327444696635,150.0,1.1100090259231128
15.0,0.17779159545898438,15.0,251.0,102.0,52.0,0.0,0.2600533549623482,1.0,0.08574699970913936,0.7667553084526106,0.021198450577872372,197.0,0.9548511762882512
16.0,0.17328505218029022,49.0,196.0,71.0,0.0,0.0,0.310999745337317,1.0,0.0023516096896562533,0.6070013733733426,0.003805803280417563,173.0,1.074163569742339
17.0,0.1660022884607315,39.0,175.0,122.0,87.0,0.0,0.22532358884518702,1.0,0.47652489156602473,0.8132287953231561,0.021228149986935528,140.0,1.1335125819835101
18.0,0.16179697215557098,30.0,130.0,99.0,0.0,0.0,0.24403735102485594,1.0,0.12526018914507955,0.7197307068761131,0.0033956051974341132,102.0,1.153684302935208
19.0,0.17547033727169037,36.0,322.0,176.0,126.0,127.0,0.3085804531719871,1.0,0.06387598339597897,0.8484090176934501,0.004982729789368508,54.0,1.0820825927224977
20.0,0.1738194078207016,17.0,220.0,71.0,47.0,0.0,0.2467001949367517,1.0,0.04835902899669578,0.755570019185784,0.0016239803990271118,182.0,1.19869622106958
21.0,0.14670607447624207,11.0,217.0,123.0,65.0,0.0,0.20734462331347042,1.0,0.09926033385219628,0.884219797759194,0.009138948130880536,164.0,1.097323699711725
22.0,0.15426477789878845,10.0,219.0,115.0,57.0,0.0,0.20229803539055696,1.0,0.14331729756486128,0.8986602220021546,0.016442078950322986,161.0,1.0872248202049417
23.0,0.15889939665794373,16.0,199.0,110.0,80.0,0.0,0.28643613283670916,1.0,0.06421837216047369,0.8362463780291703,0.005917120414486059,159.0,1.042838485029742
24.0,0.15918302536010742,19.0,237.0,92.0,0.0,0.0,0.24161679206025552,1.0,0.000249983586706623,0.30451327937837924,0.010631535349666132,138.0,1.139099579152155
25.0,0.16771864891052246,26.0,172.0,116.0,42.0,0.0,0.22649880183779986,1.0,0.11174818384486454,0.8473579959845133,0.0028194441902756754,189.0,1.094202496653611
26.0,0.15635284781455994,13.0,296.0,163.0,17.0,93.0,0.27491152797011725,1.0,0.0537473859514109,0.7797838414351862,0.040602335725603476,167.0,1.0597445799855723
27.0,0.16614215075969696,44.0,207.0,127.0,62.0,0.0,0.23019919715899162,1.0,0.0764427710168177,0.8102495676478652,0.004991437659590369,150.0,1.1159313380508495
28.0,0.170233815908432,10.0,162.0,60.0,0.0,0.0,0.20433596698287684,1.0,0.12794099698255904,0.8658191631867209,0.013301430828481635,185.0,1.164732042463167
29.0,0.17165067791938782,23.0,230.0,78.0,98.0,0.0,0.2947201010842425,1.0,0.16373377573442333,0.8281762448733289,0.007240259494716743,135.0,1.1325511780958177
30.0,0.176344633102417,27.0,363.0,149.0,73.0,128.0,0.331902835748052,1.0,0.026001898686166834,0.7601936501197838,0.0031873208435626446,172.0,1.0185779142563764
31.0,0.1631913185119629,13.0,187.0,117.0,69.0,0.0,0.20033578001720365,1.0,0.09313790182759757,0.899942894365503,0.008218147899930186,179.0,1.1143261195573149
32.0,0.15720419585704803,10.0,216.0,48.0,58.0,0.0,0.25814088187088574,1.0,0.10563179815578105,0.8994861087806828,0.013913181394933543,155.0,1.094156667331042
33.0,0.16016843914985657,18.0,209.0,34.0,74.0,0.0,0.22860082179669414,1.0,0.0864520540969574,0.8646095071347388,0.007564668228432169,174.0,1.062105242386338
34.0,0.17522165179252625,22.0,189.0,109.0,0.0,0.0,0.2687816999934289,1.0,0.15356737743068077,0.8241472670832105,0.029543361339628482,141.0,1.1491124791529392
35.0,0.15341633558273315,14.0,230.0,96.0,39.0,0.0,0.29345115089720014,1.0,0.0318191822753876,0.8653873364228435,0.010779078680996994,168.0,1.1293846416910573
36.0,0.17329449951648712,14.0,269.0,142.0,39.0,57.0,0.3320787991993634,1.0,0.04188550501477388,0.8631022000598468,0.013170886930527495,148.0,1.1342383826988767
37.0,0.15473823249340057,35.0,230.0,95.0,0.0,0.0,0.29926100020698027,1.0,0.059034393387964824,0.7862848986482445,0.0047844106872510905,109.0,1.1685084696545884
38.0,0.16779200732707977,21.0,105.0,78.0,42.0,0.0,0.27914226382179974,1.0,0.019028301016929965,0.8039483853804812,0.002285986157189919,127.0,1.1774192677743627
39.0,0.14343708753585815,47.0,273.0,215.0,53.0,100.0,0.35415268145142365,1.0,0.2000054440199562,0.719465322516802,0.011542666330841111,167.0,1.0524381283160056
40.0,0.1421295702457428,47.0,290.0,207.0,58.0,103.0,0.35727010282618393,1.0,0.21436015854472645,0.7275360796320898,0.006396769856428578,159.0,1.0470615147541307
41.0,0.1713292896747589,47.0,288.0,204.0,55.0,100.0,0.3683126053509529,1.0,0.23255579172622326,0.7320093812911574,0.006200517507147129,156.0,1.0474847950044692
42.0,0.1749809831380844,42.0,357.0,253.0,60.0,102.0,0.41549829542772093,1.0,0.2093635249711989,0.6903179834091447,0.0037125185609699746,146.0,1.018484315844088
43.0,0.14204147458076477,47.0,269.0,201.0,49.0,70.0,0.3413062059144363,1.0,0.27205148772691923,0.7428917849315553,0.008375532332395578,190.0,1.0727014139570898
44.0,0.15196923911571503,48.0,276.0,213.0,52.0,75.0,0.3482601114102717,1.0,0.2410173700057942,0.729189503002688,0.00736749582134911,188.0,1.0721281807647751
45.0,0.1546516865491867,45.0,324.0,205.0,62.0,108.0,0.32534271972265244,1.0,0.2730476312470022,0.6827116938081074,0.011531615859409374,192.0,1.0511938021641691
46.0,0.18031445145606995,39.0,259.0,184.0,46.0,58.0,0.3754887916420473,1.0,0.2761292057653821,0.6522990001916414,0.0043131143009308886,200.0,1.0202230569162947
47.0,0.16320408880710602,46.0,489.0,220.0,79.0,88.0,0.3975184007549652,1.0,0.16499895790774197,0.788952456500044,0.008499711345457565,181.0,1.0755577742692781
48.0,0.15745370090007782,50.0,302.0,233.0,31.0,113.0,0.350793792843454,1.0,0.18562151903559904,0.76156625086978,0.006037600363853209,166.0,1.0936760602937574
49.0,0.16352921724319458,43.0,355.0,180.0,92.0,63.0,0.31694665295841157,1.0,0.30118279795536995,0.811274670919226,0.015873378488404494,94.0,0.9963404718614839
50.0,0.17697034776210785,48.0,54.0,0.0,0.0,0.0,0.42598124561699535,1.0,0.21288714002594697,0.7373596500891544,0.0017370866943928899,163.0,0.9833249777235982
51.0,0.17552697658538818,48.0,270.0,204.0,53.0,72.0,0.3517846985443346,1.0,0.24865522521671593,0.7238690542326986,0.007506827583754593,189.0,1.0675724343203652
52.0,0.17468182742595673,46.0,287.0,215.0,50.0,79.0,0.34478017503375474,1.0,0.22941144669990948,0.7070204535293692,0.009005123278530508,187.0,1.0323505832250979
53.0,0.16721530258655548,41.0,254.0,192.0,65.0,45.0,0.3676904889093837,1.0,0.177543660189191,0.7475781215390088,0.004660728580975051,178.0,1.0701204172220362
54.0,0.15719595551490784,37.0,313.0,233.0,54.0,89.0,0.31819563747112567,1.0,0.19941516493859135,0.7751408651214508,0.006392090005538726,195.0,1.079654580429785
55.0,0.15343375504016876,32.0,275.0,138.0,71.0,117.0,0.3924667265487308,1.0,0.29546073270223205,0.6553414073148216,0.010853025543029188,171.0,1.102583361784587
56.0,0.14535221457481384,50.0,339.0,158.0,36.0,82.0,0.30552475026611453,1.0,0.22345537666367477,0.7065342208365805,0.017805980865831007,184.0,1.0573953187310325
57.0,0.16848483681678772,50.0,377.0,165.0,32.0,97.0,0.30527438761448017,1.0,0.1271892985731686,0.6115811597837749,0.0182029276771015,177.0,1.0563515811156647
58.0,0.17599272727966309,44.0,423.0,158.0,22.0,83.0,0.24990866247160054,1.0,0.14273551283961788,0.8339979043488609,0.021498716143945246,158.0,1.042233228917617
59.0,0.1700977236032486,46.0,406.0,190.0,36.0,68.0,0.2863008571321646,1.0,0.22091672958490963,0.7086554492439044,0.010465980563503452,183.0,1.1222097535478417
60.0,0.15180371701717377,49.0,240.0,88.0,48.0,0.0,0.2656784243398059,1.0,0.18259476821761764,0.7929702937868608,0.0027344511281440598,164.0,1.0999482571803756
61.0,0.15941213071346283,49.0,240.0,104.0,46.0,0.0,0.22006946831973667,1.0,0.20172117998865813,0.7420488711767556,0.004224388617724685,165.0,1.1012869023839504
62.0,0.15066944062709808,47.0,241.0,111.0,27.0,0.0,0.2599839153739397,1.0,0.18176437537362397,0.79240719919744,0.003530217709367551,171.0,1.08359632221995
63.0,0.1602523773908615,44.0,242.0,111.0,26.0,0.0,0.2403745829702995,1.0,0.2551612612173934,0.8818535955023429,0.005737833891298184,174.0,1.082198394555405
64.0,0.17815834283828735,12.0,247.0,120.0,65.0,0.0,0.30588483229484736,1.0,0.1717649986743735,0.7686651954734753,0.003548806507451281,170.0,1.0869518217928842
65.0,0.15103477239608765,39.0,303.0,138.0,25.0,105.0,0.21641091765252116,1.0,0.19409590296959323,0.8393352486395943,0.009589856136684739,63.0,1.0559940211936802
66.0,0.15829309821128845,47.0,234.0,114.0,122.0,0.0,0.2563587699257598,1.0,0.2145745371426214,0.750021619742313,0.013306235255898505,154.0,1.1111118330527798
67.0,0.16675524413585663,42.0,223.0,106.0,0.0,0.0,0.27216589266813873,1.0,0.15296166864547633,0.879367285656333,0.005356300633156742,143.0,1.1226286504594787
68.0,0.17547863721847534,45.0,246.0,119.0,43.0,0.0,0.23723382742664695,1.0,0.0739880703157237,0.8086356172140596,0.002609815585728559,200.0,1.0324430594859197
69.0,0.173658549785614,28.0,340.0,132.0,58.0,116.0,0.21368278668862875,1.0,0.10572552868176746,0.8250256079577662,0.003127868000953697,132.0,1.088285797100404
70.0,0.1640366166830063,47.0,227.0,101.0,16.0,0.0,0.24947942525418845,1.0,0.1187862254866035,0.8479224694312739,0.002049126042667595,183.0,1.0680310907401094
71.0,0.16376255452632904,40.0,309.0,150.0,19.0,106.0,0.21703767159885728,1.0,0.19186418455931825,0.8436967495564098,0.009076109840882422,70.0,1.0495568929082426
72.0,0.17283734679222107,32.0,338.0,130.0,23.0,83.0,0.22902353814875742,1.0,0.19930499576564736,0.780655212737083,0.008832346141138724,60.0,1.0595757667411667
73.0,0.1717035323381424,50.0,288.0,136.0,29.0,95.0,0.209067979307041,1.0,0.22207083687978696,0.8196491611834185,0.006913123550476641,112.0,1.0567118425291508
74.0,0.1609276384115219,38.0,299.0,226.0,37.0,110.0,0.2359604728782481,1.0,0.1698585188632889,0.8742893398301896,0.003924332394465552,89.0,1.0833914152916702
75.0,0.16554392874240875,43.0,263.0,167.0,28.0,120.0,0.21724426465894336,1.0,0.13729051005908388,0.85240071285002,0.016522493501773743,192.0,1.1031599540961559
76.0,0.1638944447040558,48.0,123.0,0.0,0.0,0.0,0.28196541617069143,1.0,0.16120199509945932,0.7961040443421625,0.01154724504683603,161.0,1.0426529868276888
77.0,0.16246172785758972,34.0,280.0,253.0,76.0,88.0,0.2591121829847749,1.0,0.2376279977799482,0.7617904494874888,0.00507372366095873,152.0,1.0772259025495976
78.0,0.17714957892894745,11.0,318.0,150.0,68.0,104.0,0.33678396274782735,1.0,0.1880355017249658,0.8856108631295062,0.006968321798516295,179.0,1.0612940450088924
79.0,0.1453963965177536,49.0,248.0,122.0,35.0,0.0,0.3010737288779646,1.0,0.1348618184588854,0.8324242285585669,0.009814669629805286,170.0,1.142922430512914
